n                   , Bubble-1024         , Bubble-32768        
16                  ,328                 ,334                 
32                  ,1303                ,1288                
64                  ,5125                ,5188                
128                 ,20451               ,20594               
256                 ,82130               ,82374               
512                 ,328599              ,328424              
1024                ,1309575             ,1315539             
2048                ,5245086             ,5238321             
4096                ,20975421            ,20979589            
8192                ,83853694            ,83857164            
16384               ,335405057           ,335538404           
32768               ,1342654886          ,1341760309          
65536               ,1072642337          ,1072703323          
